num_hidden_layers,hidden_size,layer,neuron_index,value
2,10,0,0,0.09384503
2,10,0,0,0.13652429
2,10,0,0,0.14169684
2,10,0,0,0.091877095
2,10,0,0,0.10295779
2,10,0,0,0.1523596
2,10,0,0,0.088562764
2,10,0,0,0.106240354
2,10,0,0,0.1036058
2,10,0,0,0.1534222
2,10,0,0,0.11458305
2,10,0,0,0.14168072
2,10,0,0,0.09356436
2,10,0,0,0.13442782
2,10,0,0,0.11022963
2,10,0,0,0.11922832
2,10,0,0,0.1086927
2,10,0,0,0.1412244
2,10,0,0,0.10605278
2,10,0,0,0.15646985
2,10,0,0,0.117177986
2,10,0,0,0.1555398
2,10,0,0,0.16871518
2,10,0,0,0.16091561
2,10,0,0,0.09321947
2,10,0,0,0.10378008
2,10,0,0,0.08689649
2,10,0,0,0.09272419
2,10,0,0,0.16474095
2,10,0,0,0.15578802
2,10,0,0,0.13364744
2,10,0,0,0.15438528
2,10,0,0,0.097260915
2,10,0,0,0.15891565
2,10,0,0,0.14751881
2,10,0,0,0.16784604
2,10,0,0,0.15091288
2,10,0,0,0.091816366
2,10,0,0,0.091974385
2,10,0,0,0.09634948
2,10,0,0,0.09395669
2,10,0,0,0.08898065
2,10,0,0,0.13766368
2,10,0,0,0.10807488
2,10,0,0,0.08890652
2,10,0,0,0.112716116
2,10,0,0,0.08428388
2,10,0,0,0.10473111
2,10,0,0,0.100353345
2,10,0,0,0.14165647
2,10,0,0,0.10638195
2,10,0,0,0.121894255
2,10,0,0,0.13693058
2,10,0,0,0.15074134
2,10,0,0,0.1506311
2,10,0,0,0.15948838
2,10,0,0,0.098241426
2,10,0,0,0.09655805
2,10,0,0,0.1316168
2,10,0,0,0.15137795
2,10,0,0,0.093923606
2,10,0,0,0.099594966
2,10,0,0,0.12361894
2,10,0,0,0.14684862
2,10,0,0,0.08771129
2,10,0,0,0.10939526
2,10,0,0,0.15904903
2,10,0,0,0.08609447
2,10,0,0,0.09449882
2,10,0,0,0.1422728
2,10,0,0,0.10288235
2,10,0,0,0.15093173
2,10,0,0,0.1334405
